"Story","Title","Result","Date","Stability","Duration (s)"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-12-22T04:28:45.001276956Z[Etc/UTC]","0.0","31.27"
"Browse the catalog","Colin reviews more of our range of products by hand","SUCCESS","2021-12-22T04:29:17.169247219Z[Etc/UTC]","0.0","0.14"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-12-22T04:29:17.473443878Z[Etc/UTC]","0.0","26.26"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-12-22T04:29:43.770527742Z[Etc/UTC]","0.0","13.1"
"Browse the catalog","Sort products","SUCCESS","2021-12-22T04:29:56.87830902Z[Etc/UTC]","0.0","6.03"
