"Story","Title","Result","Date","Stability","Duration (s)"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-12-22T04:13:49.408331304Z[Etc/UTC]","0.0","38.98"
"Browse the catalog","Colin reviews more of our range of products by hand","SUCCESS","2021-12-22T04:14:29.543345697Z[Etc/UTC]","0.0","0.2"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-12-22T04:14:30.011356328Z[Etc/UTC]","0.0","29.27"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-12-22T04:14:59.320070247Z[Etc/UTC]","0.0","16.07"
"Browse the catalog","Sort products","SUCCESS","2021-12-22T04:15:15.404853439Z[Etc/UTC]","0.0","7.55"
