"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-12-22T04:14:53.051297789Z[Etc/UTC]","0.0","6.84"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-12-22T04:15:00.221254914Z[Etc/UTC]","0.0","6.03"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2021-12-22T04:15:06.296340205Z[Etc/UTC]","0.0","5.78"
"Browse the catalog","Sort products","SUCCESS","2021-12-22T04:15:15.404853439Z[Etc/UTC]","0.0","7.55"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-12-22T04:15:01.377578161Z[Etc/UTC]","0.0","4.93"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-12-22T04:14:33.71209488Z[Etc/UTC]","0.0","5.68"
