"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-12-22T04:02:43.993421964Z[Etc/UTC]","0.0","7.7"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-12-22T04:02:52.229485049Z[Etc/UTC]","0.0","5.64"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2021-12-22T04:02:57.914568304Z[Etc/UTC]","0.0","4.82"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-12-22T04:02:53.879143541Z[Etc/UTC]","0.0","4.7"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-12-22T04:02:58.629543461Z[Etc/UTC]","0.0","4.09"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-12-22T04:02:28.133873481Z[Etc/UTC]","0.0","4.7"
