"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds ignored items to the cart","IGNORED","2021-12-22T04:12:07.970764735Z[Etc/UTC]","0.0","0.1"
"Managing the cart","Colin adds pending items to the cart","PENDING","2021-12-22T04:12:08.106367169Z[Etc/UTC]","0.0","0.11"
"Managing the cart","Colin adds skipped items to the cart","SKIPPED","2021-12-22T04:12:08.254735218Z[Etc/UTC]","0.0","0.14"
"Browse the catalog","Colin reviews our range of products by hand","PENDING","2021-12-22T04:11:43.662563216Z[Etc/UTC]","0.0","0.17"
"Browse the catalog","Colin reviews more of our range of products by hand","SUCCESS","2021-12-22T04:11:43.878399193Z[Etc/UTC]","0.0","0.14"
"Browse the catalog","Colin reviews more of our range of products by hand and finds a problem","FAILURE","2021-12-22T04:11:44.098046314Z[Etc/UTC]","0.0","0.13"
