"Story","Title","Result","Date","Stability","Duration (s)"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-12-22T04:12:09.660324938Z[Etc/UTC]","0.0","3.62"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-12-22T04:12:13.292929569Z[Etc/UTC]","0.0","3.3"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-12-22T04:11:45.951043095Z[Etc/UTC]","0.0","3.61"
