"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds ignored items to the cart","IGNORED","2021-12-22T04:29:40.952665655Z[Etc/UTC]","0.0","0.1"
"Managing the cart","Colin adds pending items to the cart","PENDING","2021-12-22T04:29:41.077799579Z[Etc/UTC]","0.0","0.07"
"Managing the cart","Colin adds skipped items to the cart","SKIPPED","2021-12-22T04:29:41.155025609Z[Etc/UTC]","0.0","0.07"
"Browse the catalog","Colin reviews our range of products by hand","PENDING","2021-12-22T04:29:16.765021737Z[Etc/UTC]","0.0","0.33"
"Browse the catalog","Colin reviews more of our range of products by hand","SUCCESS","2021-12-22T04:29:17.169247219Z[Etc/UTC]","0.0","0.14"
"Browse the catalog","Colin reviews more of our range of products by hand and finds a problem","FAILURE","2021-12-22T04:29:17.336325192Z[Etc/UTC]","0.0","0.09"
